Delta_Sector_ID,Delta_Sector,SOC_Code,SOC_Title,Employment_Thousands,Staffing_Share_Pct
2,Technology & Software,37-2011,"Janitors and cleaners, except maids and housekeeping cleaners",3.0,0.06
2,Technology & Software,43-3051,Payroll and timekeeping clerks,3.0,0.06
2,Technology & Software,43-4171,Receptionists and information clerks,2.9,0.06
2,Technology & Software,11-3013,Facilities managers,2.9,0.06
2,Technology & Software,51-9161,Computer numerically controlled tool operators,2.9,0.06
2,Technology & Software,43-4071,File clerks,2.6,0.06
2,Technology & Software,43-4151,Order clerks,2.6,0.06
2,Technology & Software,27-3043,Writers and authors,2.6,0.06
2,Technology & Software,27-4011,Audio and video technicians,2.6,0.06
2,Technology & Software,43-9071,"Office machine operators, except computer",2.6,0.06
2,Technology & Software,49-2094,"Electrical and electronics repairers, commercial and industrial equipment",2.4,0.05
2,Technology & Software,51-9199,"Production workers, all other",2.4,0.05
2,Technology & Software,23-2011,Paralegals and legal assistants,2.4,0.05
2,Technology & Software,51-4122,"Welding, soldering, and brazing machine setters, operators, and tenders",2.4,0.05
2,Technology & Software,41-1011,First-line supervisors of retail sales workers,2.4,0.05
2,Technology & Software,43-9199,"Office and administrative support workers, all other",2.3,0.05
2,Technology & Software,13-2054,Financial risk specialists,2.3,0.05
2,Technology & Software,51-4081,"Multiple machine tool setters, operators, and tenders, metal and plastic",2.2,0.05
2,Technology & Software,19-5011,Occupational health and safety specialists,2.0,0.04
2,Technology & Software,29-1141,Registered nurses,2.0,0.04
2,Technology & Software,43-4161,"Human resources assistants, except payroll and timekeeping",1.9,0.04
2,Technology & Software,51-4121,"Welders, cutters, solderers, and brazers",1.9,0.04
2,Technology & Software,25-9031,Instructional coordinators,1.9,0.04
2,Technology & Software,41-9041,Telemarketers,1.9,0.04
2,Technology & Software,41-3031,"Securities, commodities, and financial services sales agents",1.9,0.04
2,Technology & Software,29-9021,Health information technologists and medical registrars,1.8,0.04
2,Technology & Software,43-9041,Insurance claims and policy processing clerks,1.8,0.04
2,Technology & Software,43-4199,"Information and record clerks, all other",1.8,0.04
2,Technology & Software,53-3033,Light truck drivers,1.7,0.04
2,Technology & Software,33-9021,Private detectives and investigators,1.7,0.04
2,Technology & Software,15-2041,Statisticians,1.7,0.04
2,Technology & Software,11-9021,Construction managers,1.7,0.04
2,Technology & Software,17-2051,Civil engineers,1.6,0.03
2,Technology & Software,17-2111,"Health and safety engineers, except mining safety engineers and inspectors",1.6,0.03
2,Technology & Software,17-3027,Mechanical engineering technologists and technicians,1.6,0.03
2,Technology & Software,17-3029,"Engineering technologists and technicians, except drafters, all other",1.6,0.03
2,Technology & Software,53-1047,"First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",1.6,0.03
2,Technology & Software,11-3111,Compensation and benefits managers,1.4,0.03
2,Technology & Software,17-3012,Electrical and electronics drafters,1.4,0.03
2,Technology & Software,51-4193,"Plating machine setters, operators, and tenders, metal and plastic",1.4,0.03
2,Technology & Software,13-2031,Budget analysts,1.4,0.03
2,Technology & Software,13-2041,Credit analysts,1.4,0.03
2,Technology & Software,43-3099,"Financial clerks, all other",1.4,0.03
2,Technology & Software,47-2061,Construction laborers,1.4,0.03
2,Technology & Software,19-2099,"Physical scientists, all other",1.4,0.03
2,Technology & Software,17-2131,Materials engineers,1.3,0.03
2,Technology & Software,27-4032,Film and video editors,1.3,0.03
2,Technology & Software,43-4131,Loan interviewers and clerks,1.3,0.03
2,Technology & Software,43-6013,Medical secretaries and administrative assistants,1.3,0.03
2,Technology & Software,43-3061,Procurement clerks,1.3,0.03
2,Technology & Software,43-9051,"Mail clerks and mail machine operators, except postal service",1.3,0.03
2,Technology & Software,49-9099,"Installation, maintenance, and repair workers, all other",1.2,0.03
2,Technology & Software,27-1021,Commercial and industrial designers,1.1,0.02
2,Technology & Software,51-2021,"Coil winders, tapers, and finishers",1.1,0.02
2,Technology & Software,27-3091,Interpreters and translators,1.1,0.02
2,Technology & Software,11-2011,Advertising and promotions managers,1.1,0.02
2,Technology & Software,13-2072,Loan officers,1.1,0.02
2,Technology & Software,13-1051,Cost estimators,1.0,0.02
2,Technology & Software,47-2073,Operating engineers and other construction equipment operators,1.0,0.02
2,Technology & Software,49-2097,Audiovisual equipment installers and repairers,1.0,0.02
2,Technology & Software,19-4099,"Life, physical, and social science technicians, all other",0.9,0.02
2,Technology & Software,47-2111,Electricians,0.9,0.02
2,Technology & Software,13-2082,Tax preparers,0.9,0.02
2,Technology & Software,51-9151,Photographic process workers and processing machine operators,0.9,0.02
2,Technology & Software,47-1011,First-line supervisors of construction trades and extraction workers,0.9,0.02
2,Technology & Software,13-1031,"Claims adjusters, examiners, and investigators",0.9,0.02
2,Technology & Software,49-9043,"Maintenance workers, machinery",0.8,0.02
2,Technology & Software,53-3032,Heavy and tractor-trailer truck drivers,0.8,0.02
2,Technology & Software,23-2093,"Title examiners, abstractors, and searchers",0.8,0.02
2,Technology & Software,29-1051,Pharmacists,0.8,0.02
2,Technology & Software,17-3024,Electro-mechanical and mechatronics technologists and technicians,0.8,0.02
2,Technology & Software,53-7064,"Packers and packagers, hand",0.7,0.01
2,Technology & Software,51-4031,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",0.7,0.01
2,Technology & Software,51-4072,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",0.7,0.01
