Function_ID,Function_Name,SOC_Code,Delta_Sector_ID,Delta_Sector,Employment_Thousands
6,Sales & Business Development,41-4012,11,Government & Public Administration,0.3
6,Sales & Business Development,41-4012,12,Media Publishing & Entertainment,2.1
6,Sales & Business Development,41-4012,13,Energy & Utilities,0.8
6,Sales & Business Development,41-4012,14,Architecture & Engineering Firms,3.2
6,Sales & Business Development,41-4012,15,Manufacturing,141.5
6,Sales & Business Development,41-4012,16,Retail Trade,21.6
6,Sales & Business Development,41-4012,17,Construction,18.4
6,Sales & Business Development,41-4012,18,Transportation & Warehousing,10.7
6,Sales & Business Development,41-4012,19,Wholesale Trade,701.5
6,Sales & Business Development,41-4012,20,Accommodation & Food Services,1.2
6,Sales & Business Development,41-9031,1,Finance & Financial Services,0.2
6,Sales & Business Development,41-9031,2,Technology & Software,21.4
6,Sales & Business Development,41-9031,3,Healthcare & Life Sciences,0.9
6,Sales & Business Development,41-9031,5,Management Consulting Firms,1.3
6,Sales & Business Development,41-9031,6,Accounting & Tax Firms,0.1
6,Sales & Business Development,41-9031,7,Advertising & PR Agencies,0.6
6,Sales & Business Development,41-9031,8,Staffing & Recruitment Agencies,0.4
6,Sales & Business Development,41-9031,13,Energy & Utilities,0.2
6,Sales & Business Development,41-9031,14,Architecture & Engineering Firms,2.0
6,Sales & Business Development,41-9031,15,Manufacturing,6.5
6,Sales & Business Development,41-9031,17,Construction,1.4
6,Sales & Business Development,41-9031,18,Transportation & Warehousing,0.6
6,Sales & Business Development,41-9031,19,Wholesale Trade,12.3
7,Information Technology,15-1211,1,Finance & Financial Services,71.7
7,Information Technology,15-1211,2,Technology & Software,152.8
7,Information Technology,15-1211,3,Healthcare & Life Sciences,57.9
7,Information Technology,15-1211,4,Law Firms & Legal Services,1.1
7,Information Technology,15-1211,5,Management Consulting Firms,16.2
7,Information Technology,15-1211,6,Accounting & Tax Firms,7.6
7,Information Technology,15-1211,7,Advertising & PR Agencies,3.6
7,Information Technology,15-1211,8,Staffing & Recruitment Agencies,15.6
7,Information Technology,15-1211,9,Real Estate & Property,1.7
7,Information Technology,15-1211,10,Education & Academia,5.8
7,Information Technology,15-1211,11,Government & Public Administration,18.5
7,Information Technology,15-1211,12,Media Publishing & Entertainment,1.3
7,Information Technology,15-1211,13,Energy & Utilities,4.6
7,Information Technology,15-1211,14,Architecture & Engineering Firms,23.2
7,Information Technology,15-1211,15,Manufacturing,14.7
7,Information Technology,15-1211,16,Retail Trade,0.7
7,Information Technology,15-1211,17,Construction,1.5
7,Information Technology,15-1211,18,Transportation & Warehousing,3.5
7,Information Technology,15-1211,19,Wholesale Trade,12.9
7,Information Technology,15-1211,20,Accommodation & Food Services,0.5
7,Information Technology,15-1212,1,Finance & Financial Services,28.5
7,Information Technology,15-1212,2,Technology & Software,57.7
7,Information Technology,15-1212,3,Healthcare & Life Sciences,13.8
7,Information Technology,15-1212,4,Law Firms & Legal Services,1.0
